Period,Volume (MWh),Price (€/MWh)
00:00-00:15,66.3,31.91
00:15-00:30,65.3,29.39
00:30-00:45,64.0,21.13
00:45-01:00,69.2,20.10
01:00-01:15,90.5,20.32
01:15-01:30,91.8,14.87
01:30-01:45,91.7,15.58
01:45-02:00,91.9,13.23
02:00-02:15,91.9,17.81
02:15-02:30,91.3,12.30
02:30-02:45,93.8,14.90
02:45-03:00,94.0,11.29
03:00-03:15,72.1,18.90
03:15-03:30,74.6,19.93
03:30-03:45,71.3,14.12
03:45-04:00,71.3,9.56
04:00-04:15,93.7,11.53
04:15-04:30,93.7,16.64
04:30-04:45,93.7,20.03
04:45-05:00,93.9,27.80
05:00-05:15,35.3,20.92
05:15-05:30,36.7,23.99
05:30-05:45,42.0,30.58
05:45-06:00,49.4,35.44
06:00-06:15,40.0,55.70
06:15-06:30,34.8,70.04
06:30-06:45,43.7,82.15
06:45-07:00,46.5,86.11
07:00-07:15,101.5,95.06
07:15-07:30,94.5,105.63
07:30-07:45,103.9,106.28
07:45-08:00,117.4,111.89
08:00-08:15,38.1,125.66
08:15-08:30,36.6,123.61
08:30-08:45,36.2,117.20
08:45-09:00,58.6,106.74
09:00-09:15,37.7,129.66
09:15-09:30,55.6,103.26
09:30-09:45,44.2,94.24
09:45-10:00,45.6,84.10
10:00-10:15,40.0,111.89
10:15-10:30,25.2,77.61
10:30-10:45,23.9,64.28
10:45-11:00,30.3,55.50
11:00-11:15,46.9,60.64
11:15-11:30,47.8,59.47
11:30-11:45,45.2,60.99
11:45-12:00,47.2,63.30
12:00-12:15,57.4,76.00
12:15-12:30,44.2,70.18
12:30-12:45,56.3,78.99
12:45-13:00,25.5,50.00
13:00-13:15,36.3,59.87
13:15-13:30,30.8,53.32
13:30-13:45,27.4,50.00
13:45-14:00,30.8,44.00
14:00-14:15,40.6,50.00
14:15-14:30,37.0,50.00
14:30-14:45,35.6,51.20
14:45-15:00,44.5,50.00
15:00-15:15,32.2,51.20
15:15-15:30,48.7,55.00
15:30-15:45,44.5,56.02
15:45-16:00,51.9,59.10
16:00-16:15,33.1,50.00
16:15-16:30,36.1,51.20
16:30-16:45,26.9,53.00
16:45-17:00,37.4,68.01
17:00-17:15,23.4,47.68
17:15-17:30,42.9,79.00
17:30-17:45,22.7,79.28
17:45-18:00,41.6,100.53
18:00-18:15,52.6,74.04
18:15-18:30,52.1,95.72
18:30-18:45,56.2,112.00
18:45-19:00,61.3,136.14
19:00-19:15,99.2,118.27
19:15-19:30,92.6,136.92
19:30-19:45,82.9,165.00
19:45-20:00,83.3,172.01
20:00-20:15,99.8,161.18
20:15-20:30,106.8,135.00
20:30-20:45,99.8,118.00
20:45-21:00,104.0,108.09
21:00-21:15,47.7,117.67
21:15-21:30,35.9,120.13
21:30-21:45,31.3,109.62
21:45-22:00,40.9,94.83
22:00-22:15,28.5,103.63
22:15-22:30,28.2,97.71
22:30-22:45,37.2,112.00
22:45-23:00,26.3,103.86
23:00-23:15,27.2,104.25
23:15-23:30,27.0,100.00
23:30-23:45,24.6,96.68
23:45-24:00,28.1,88.39
